source,firm,title,min_years,position_levels,employment_types,desc_excerpt,is_grad,is_internship,job_family,note
mcf,KOUFU PTE LTD,Management Associate,0,Fresh/entry level,Contract|Permanent|Full Time,"job description & requirements oversee the daily operations of outlet for efficient operations work closely with the area manager on strategic business planning and operations develop cost-effective operational plan to achieve outlet’s goals ensure good and prompt service to satisfy customers' needs ensure outlet compliance to all authority regulations including but not limited to hygiene, cleanliness and workplace safety guidelines ensure outlet compliance to company’s regulations such as sales reporting, cash management and inventory controls train and retain outlet staff manpower recruitment and scheduling to achieve optimal productivity monitor inventory levels and replenish stock when needed analyse and resolve problems in a timely and accurate manner regular review to improve cleaning standards, food safety and sanitation perform any duties which may be assigned from time to time from superior",1,0,general_management,reviewed:route:programme
mcf,CLAAS2SAAS PTE. LTD.,Digital Sales Associate (Course Consultant),1,Non-executive,Permanent|Full Time,"about claas2saas claas2saas is a singapore-headquartered pan-asean ai acceleration platform committed to advancing inclusive digital economy transformation across southeast asia. with a growing presence across singapore, malaysia, indonesia, philippines, vietnam, cambodia, myanmar, sri lanka, india, and china, we work closely with higher education institutions, enterprises, smes, and governments to accelerate workforce and digital transformation in the ai era. driven by a skills-first, work-integrated learning innovation, claas2saas combines work-integrated learning with ai-powered adaptive technologies to develop industry-ready digital talent and support lifelong career growth. our innovative learning ecosystem enables faster and more effective workforce transformation, empowering individuals with practical skills, real-world industry experience, and meaningful career outcomes. at the same time, we support enterprises in adopting intelligent digital solutions and scalable ai-enabled services that enhance productivity, workforce capabilities, and operational efficiency. by connecting education, industry, and technology within a unified ecosystem, claas2saas is building a more connected, agile, and ai-powered asean economy for the future. job mission as a digital sales associate you will provide guidance to individuals to find their ideal digital careers or upgrade their current skills for the new digital economy. you will provide consultative needs-based selling and career consultation to guide these individuals to pursue the best suited digital career and acquire the digital skills needed. team structure you will collaborate with the marketing team to launch leads generation and awareness campaigns and connect with the delivery and talent management team to ensure that the acquisition of skills and future-ready career is fulfilled. your main responsibilities assist in the execution of marketing campaigns to outreach to the desired target audience provide career consultation and consultative needs-based selling to guide individuals to embark on the best fitted digital career or obtain the digital skills needed upkeep the sales activities and conversion ratio to achieve the sales target set what you get a diverse team culture weekly trainings to enhance your skills for top performance buddy/mentoring support system quarterly team bonding exposure in tech jobs landscape commissions on top of competitive monthly remuneration requirements at least 1-2 years of experience in sales is an advantage fresh graduates with a passion to learn and grow within the role and team are welcome to apply a positive mindset towards your own growth and career development for people you will engage diploma graduate/bachelor’s degree graduate passionate in upskilling advocacy good english communication",1,0,management_consulting,reviewed:route:states-fresh-grad
mcf,CYPRESS TAX SOLUTIONS PTE. LTD.,Audit Associate,1,Professional,Full Time,"job title: audit associate job description: • execute audit procedures in detailed financial analysis, testing internal controls, and assessing compliance with accounting standards. • identify significant accounting and auditing issues via engagements in the various industries. • obtain audit evidence and document observations in the audit work paper. • must be able to work with different engagement managers and team members. • awareness of self-development and self-enhancement of professional skill sets for career. • communicate effectively. job requirements: · bachelor's or master’s degree in accountancy, finance or professional qualification in accountancy, such as acca, ca, icaew and cpa australia. · general knowledge of economic trends, technical and industry developments, and a sense of business operations. · minimum 2 years of auditing or accounting experience preferred. · fresh graduates are welcome to apply for the audit associate role. · good time management and good documentation skills. · strong english communication skills, both verbal and written. · display accountability and a spirit of teamwork. · demonstrate initiative",1,0,risk_compliance,reviewed:route:states-fresh-grad
mcf,RECRUIT NOW SINGAPORE PTE. LTD.,Investment Analyst (Experienced/Entry Level),2,Non-executive,Permanent|Full Time,"investment analyst (entry level) salary: up to s$5,000/month + variable bonus location: cbd/town working time/date: 5 days work week, mon to fri: 9:00am to 6:00pm looking to build your career in investments? whether you're a retail banking investment consultant (ic), assistant relationship manager (arm) looking to pivot into the investment space, we'd love to hear from you! what you'll be doing as an investment analyst, you'll play a key role in supporting investment operations and portfolio management. your responsibilities will include: supporting the management and governance of a variable capital company (vcc) structure, including documentation and stakeholder coordination. monitoring investment portfolios through performance tracking, risk reviews, and regular engagement with fund managers. preparing client portfolio reports, factsheets, and investment updates. conducting portfolio analysis and supporting investment research processes. leveraging ai tools to enhance investment monitoring, reporting, and operational efficiency. what we're looking for bachelor's degree in finance, accounting, economics, business administration, or a related discipline. 2–3 years of relevant experience will be preferred. experience in client-facing or stakeholder management roles is an advantage. good understanding of investment products across multiple asset classes. self-driven, curious, and eager to learn in a fast-paced investment environment. why join us? launch or accelerate your career in asset management. gain exposure to investment portfolios, fund managers, and vcc structures. work in an innovative environment that embraces ai to enhance investment processes. learn from experienced professionals and grow your expertise. if you're passionate about investments and excited to grow in a dynamic environment, we'd love to connect with you!",1,0,investment,reviewed:route:states-fresh-grad
mcf,HR SG PTE. LTD.,Junior Investment Associate (Fund Management & Operations),0,Junior Executive,Full Time,"interested candidates may apply through mycareersfuture or submit their application via: https://www.myworkjoy.com/jobseeker/jobs/?currentjobid=51b2d8fa-47c9-48ac-9a63-060dcad15e4c our client is a singapore-based fund management company serving as a regional headquarters for southeast asia. the organisation provides a broad range of fund management services and operates in a dynamic, collaborative environment with exposure to fund operations, portfolio monitoring, investor reporting and regulatory coordination. role: junior investment associate (portfolio & operations management) role overview we are seeking a dynamic and driven associate to join the growing team in singapore. working closely with the head of finance and the partners, you will support fund operations, portfolio company coverage, investor relations, compliance administration and the management of third-party service providers. you will also have the opportunity to take ownership of operational workflows, improve reporting processes and contribute to initiatives that reduce operational risk. key responsibilities fund operations, reporting and compliance assist the partners in preparing fund-level performance reports, portfolio updates and other management information. support the day-to-day administration of fund vehicles, special purpose vehicles and related structures. coordinate annual audits, regulatory filings, kyc and aml documentation, due diligence requests and data-room administration. liaise with fund administrators, auditors, legal counsel, corporate secretaries and other external service providers to ensure accurate and timely deliverables. maintain operational records, reporting calendars, supporting documentation and internal trackers. monitor key operational deadlines and follow up on outstanding information or actions. portfolio company coverage and market research support communications with portfolio company executives and relevant stakeholders. monitor portfolio company developments, track updates and escalate material issues to the partners when required. coordinate the collection and review of quarterly portfolio company reports. analyse financial and operational information and maintain portfolio performance dashboards. identify significant trends, variances and developments for management review. prepare market research reports, industry insights and presentation materials for the wider team. support ad-hoc research and portfolio-related projects as assigned. fund management and investor relations facilitate investor and client onboarding and coordinate the required regulatory and compliance documentation. assist in preparing periodic investor reports, portfolio updates and other investor communications. coordinate nav production with fund administrators and review supporting information for accuracy and completeness. support the preparation and administration of capital call, distribution and other investor notices. assist with annual budget preparation, expense monitoring and management fee calculations. maintain investor-related records, reporting schedules and supporting documentation. team and operational coordination maintain team workflow, task trackers and follow-up schedules to support timely execution. coordinate meetings, events and related administrative or logistical arrangements. support the partners with banking, payments and account-related workflows. assist in coordinating documentation and information across internal and external stakeholders. identify opportunities to streamline reporting, documentation and operational processes. support the adoption of appropriate digital tools and automation to improve efficiency, accuracy and operational controls. contribute to initiatives aimed at reducing operational risk and strengthening internal processes. requirements fresh graduates are encouraged to apply (singaporeans only) . bachelor’s degree in economics, finance, accounting, business administration or a related discipline ",1,0,investment,reviewed:route:states-fresh-grad
mcf,A-IT SOFTWARE SERVICES PTE LTD,Business Analyst (Bank) (JT),1,Professional,Contract,"1.to support the end-to-end delivery of the collections system upgrade initiatives. the role involves requirements gathering, process analysis,stakeholder coordination, and ensuring the upgraded system meets operational,regulatory, and customer experience objectives. 2.foster collaborative partnerships across stakeholder teams to elicit and documents business requirements, translate business needs into functional and non-functional requirements, define user stories, process flows and use casefor system enhancements, ensure alignment of final deliverables in terms of outcomes, strategic objectives, timelines and cost estimates. 3.be the respected subject matter expert in consumer credit domain area as partnership from role of read credit functional business analyst. 4.manage regular communication with key stakeholders to ensure seamless and an integrated working model across stakeholders, provide regular updates on the status of book of work and assist the team during troubleshooting ofissues/blockers. 5.highlight customer related impact to users when reviewing system enhancement requests to minimize potential issues. 6.provide guidance to users in drafting system test scripts, co-ordinate testing and review test results to ensure all business requirements are met. requirements: 1.process basic degree in business administration or computational science 2. domain knowledge on collection and recovery processes, loan management or debt collection systems. 3.having good working knowledge of microsoft office applications (eg. excel,word, powerpoint & project). 4. experience in sdlc(agile/waterfall), testing and project management processes 5. strong command of sql and querying databases using tools e.g. sas, r, python or equivalent this job advertisement is posted by: tan geok khim (deng yuqin) (r22107857) a-it software services pte ltd ea license no: 24c2345 “by submitting your application for this position, you consent to the collection,use, and disclosure of your personal data by a-it software services and its recruitment partners, including employment and employability institute pte ltd,for the purpose of i) employment facilitation and ii) data and statistical analysis. you may find out more information on the pdpa policies at [a-itsoftware services pdpa website] and [ https://www.e2i.com.sg/pdpa/ ].”",0,0,business_analyst,reviewed:no-route
mcf,CA PRACTICE PAC,Audit Associate,0,Fresh/entry level,Permanent|Full Time,"job description the audit associate will be involved in audit team and related assignments under the supervision of audit managers and partners, to ensure that these assignments are executed properly. the audit associate will be involved in the preparation and compilation of accounts for acra filing purpose. the audit associate is expected to work effectively in a team environment by sharing responsibilities, providing support and communicating with colleagues in a professional manner. job responsibilities assist in the planning, execution and finalisation of all areas of the audit assignment identify and raise potential risk issues with the manager / partner, while exercising judgement within agreed parameters. assist in the preparation of the income tax computations / returns and estimated tax provisions compilation of accounts for acra filing purposes maintain a full set of accounts using accounting software assist in other ad hoc tasks assigned by the partner or manager. job requirements a degree in accounting or related field excellent analytical skills strong team working skills excellent verbal and written communication skills possess initiative and able to work independently able to work effectively under pressure and in a fast paced environment.",1,0,risk_compliance,reviewed:route:zero-years
mcf,MI EQUIPMENT PTE. LTD.,Software Engineer/ Senior,2,Executive,Permanent,"design and develop software, control system & hardware for automated machines provide application integration test and documentation provide assistances and machine software & hardware support to customers as well as evaluation to find solutions on customer’s modification requests to analyze and implement customer requirements responsible for software development process definition and hardware qualification plan and manage technical projects or tasks to meet expectations on quality and timeliness work as a team to evaluate interface between hardware and software as well as the operational and performance requirements of the overall system perform proper engineering documentation, sop and guideline identify and implement process improvement to enhance software development efficiency and product performance train and mentor junior and mid-level engineers provide technical expertise in software programming undertake other duties and responsibilities, which may be assigned by the company from time to time with on timely and complete closure job requirements degree in engineering or science in electronics/ electrical/ mechatronics/ computer with second upper class or above strong in software programming and electronics/electrical design well versed in visual c++, visual c#, vb.net programming language good working relationship and positive work attitude, self-motivated with ability to work independently and in team environment innovative, creativity and hardworking strong technical leadership, analytical & problem-solving skills excellent written and verbal communication skills positive thinking and willing to provides extended support to customer enjoy learning new things and willing to accept new challenges good semiconductor process knowledge or ir technology is an added advantage good project management skills at least 2 years of relevant working experience is required experience in design & develop die bonder equipment",0,0,software_engineering,reviewed:veto:seniority-in-title
mcf,EA RECRUITMENT PTE. LTD.,Assistant Software Engineer / Software Engineer (SCADA & System Integration),1,Junior Executive,Permanent|Full Time,"well established company basic $3500 to $5500 + aws + vb working location: northeast singapore working hours: 8.30am – 5.30pm (5 days work) candidates with at least one year of software development experience and exposure to a full sdlc may be considered for the software engineer position. candidate with lesser experience and may be considered for the assistant software engineer position. job responsibilities: design, develop, configure, test and integrate software solutions for scada and system integration projects. gather and analyse system requirements and prepare software designs. develop applications using c/c++, c#, python, typescript or other relevant programming and scripting languages. design and configure user-friendly scada screens, animations, alarm displays and system interfaces. configure i/o points and integrate scada software with field controllers and other systems. design and optimise relational databases using mssql, mysql or postgresql. perform in-house software testing, system integration testing and site testing. support software deployment, installation, testing and commissioning at customers’ sites. retrieve and analyse system logs to troubleshoot software, database, network, protocol and communication issues. implement software fixes, patches, enhancements and system upgrades. prepare software documentation, test reports and technical records. provide production and technical support to project teams and customers. requirements: diploma or degree in computer science, computer engineering, electrical engineering, electronics engineering or related discipline. knowledge or experience in two or more programming languages such as c/c++, c#, html5 or unix shell. familiarity with at least one scripting language such as python, bash or typescript. knowledge of relational databases such as mssql, mysql or postgresql. good understanding of computer networks, windows and unix/linux environments. knowledge of rest apis, communication protocols, map engines, scada, rsbms or cybersecurity will be advantageous. candidates with at least one year of software development experience and exposure to a full sdlc may be considered for the software engineer position. candidate with lesser experience and may be considered for the assistant software engineer position. able to provide on-site support and work with customers when required. candidates are encouraged to apply this position via apply now button with the following information in the resume work experiences and job responsibilities current and expected salary reason for leaving date of availability education background we regret that only shortlisted candidates will be contacted. ng diaum yee (r2198031) ea recruitment pte ltd ea license no: 21c0492",0,0,software_engineering,reviewed:no-route
mcf,STAR CAREER CONSULTING PTE. LTD.,Wealth Manager (Investment),1,Professional,Contract|Freelance|Full Time|Internship/Attachment,"wealth management consultant(investment) benefits competitive compensation package(monthly allowance + commission + incentives + quarterly bonus + year end bonus) various incentive trips build a growing stream of recurring income professional development and mentorship to break barriers role become a part of our team and start a fulfilling career where you'll make a real difference in the lives of your clients. we are dedicated to delivering exceptional financial guidance and services, empowering our clients to reach their financial goals and ensure a secured future. if you love making a positive impact and enjoy working in a client-focused environment, this is the opportunity for you. responsibilities 1. client acquisition through various prospecting strategies. 2. review prospective/existing client portfolio. 3. propose solutions and planning for client investment and insurance needs. 4. client management and retention. 5. attend and respond to customer queries professionally. 6. service and review financial portfolios in maintaining a long-term customer relationship. requirements · diploma or degree from a recognized institution in any field · passionate to make a difference · adventurous, driven with entrepreneurial spirit; creative problem solver with an open mind · outspoken with excellent communication & interpersonal skills · equally motivated by working independently as well as collaborating in a team we respect your privacy and all communication will be treated with confidentiality. please contact us or apply in-confidence to us with you updated ms word resume to : kelvin@starcareerconsulting.com kelvin (reg. no. r1872625) star career consulting pte ltd (ea license: 20c0353)",0,1,management_consulting,reviewed:veto:seniority-in-title
mcf,XING DA FOODSTUFF (S) PTE. LTD.,Supply Chain Coordinator,0,Junior Executive,Full Time,"vegetable wholesale | full-time | mid-career switchers welcome we are a local vegetable wholesale company supplying restaurants and retail customers across singapore. we are looking for a supply chain coordinator to join our operations team. this role is supported under the workforce singapore career conversion programme (ccp) and includes structured on-the-job training , making it ideal for singaporeans or prs seeking a stable role and a mid-career transition . 🌱 why this role may be right for you stable essential industry (food & vegetables) training provided – no prior supply chain experience required coordination-based role , not physically demanding clear work processes and guidance opportunity for long-term employment 💼 key responsibilities coordinate vegetable orders, deliveries, and warehouse arrangements monitor inventory levels, shelf life, and basic loss records liaise with warehouse staff, drivers, and suppliers update order and inventory records using excel or simple systems support daily supply chain and operations coordination 👤 who we welcome singapore citizens or permanent residents (sc / pr) mid-career candidates aged 45–55 are strongly encouraged to apply no prior supply chain or wholesale experience required basic computer skills (excel / documentation) responsible, willing to learn, and able to communicate with different teams candidates with backgrounds in administration, operations support, customer service, sales support, or coordination roles may be especially suitable. 💰 salary & employment details monthly salary: s$3,500 – s$3,800 (depending on experience) full-time 6-month contract (with opportunity for conversion to permanent role) cpf contributions provided supportive team environment and structured training 📈 career progression supply chain coordinator → senior operations / supply chain executive → operations / supply chain supervisor if you are interest in this job, pls whatspp me directly at 90689296.",1,0,supply_chain,reviewed:route:zero-years
mcf,WHITE SOCIETY PTE. LTD.,WEALTH STRATEGY ADVISOR,0,Executive,Full Time,"develop wealth management strategies for clients: - create tailored wealth management plans aligned with client goals - consider all aspects of client wealth, including investments, taxes, and estate planning - collaborate with clients to set and achieve wealth objectives provide investment advice and planning for wealth growth/protection: - offer investment advice and strategies for wealth growth and protection - provide guidance on asset allocation, risk management, and wealth preservation - help clients navigate complex investment decisions analyze client portfolios and optimize wealth plans: - review and analyze client portfolios and wealth plans - identify areas for optimization and improvement - implement changes to enhance portfolio performance and alignment with goals focus on long-term wealth goals and legacy planning: - help clients set and achieve long-term wealth goals (e.g., retirement, legacy) - consider estate planning, tax efficiency, and intergenerational wealth transfer - provide guidance on philanthropy and charitable giving strategies",1,0,risk_compliance,reviewed:route:zero-years
mcf,SHINRYO CORPORATION,Mechanical Engineer (An Excellent Opportunity for Fresh Graduates),0,Fresh/entry level,Contract|Full Time,"responsibilities perform engineering duties such as design, engineering calculations, planning, tender preparation/evaluations as part of the engineering project team qa/qc documentation of engineering deliverables liaison with clients, project managers, architects, contractors assist in resolving any technical problems faced during project design and/or construction stages any other required duties as required by the project team. minimum qualifications/ experience/skills fresh graduate from electrical/mechanical engineering. advanced skills using company software proven ability to communicate well in written and verbal communications design thinking for product inventions and enhancements motivation and commitment to providing interpersonal customer service knowing and applying current industry standards and information soft skills including a positive attitude, flexibility and conflict resolution the ability to solve problems creatively on time having up-to-date knowledge and technical skills",1,0,engineering,reviewed:route:states-fresh-grad
mcf,RECRUIT EXPRESS PTE LTD,HR Business Partner | Employee Relations & People Strategy #HDC,2,Senior Executive,Temporary|Contract|Part Time|Permanent|Full Time,"join a dynamic organization where you can make a meaningful impact by partnering with business leaders to drive people initiatives and foster a positive workplace culture. if you are passionate about employee engagement, talent management, and providing strategic hr support, this could be the opportunity for you. key responsibilities partner with business leaders and management teams to support business objectives through effective hr strategies and people solutions. advise and guide managers on hr policies, procedures, and best practices to ensure fair and consistent application across the organization. manage employee relations matters, including investigations, grievances, disciplinary cases, conflict resolution, and workplace concerns. support recruitment and workforce planning initiatives to meet operational and business requirements. promote a positive and collaborative work environment by driving employee engagement and maintaining strong employee relations. coach and support managers in performance management, employee development, and people-related matters. work closely with hr teams across the organization to implement hr initiatives, improve processes, and deliver value-added hr solutions. review hr practices and recommend continuous improvements that enhance organizational effectiveness. participate in hr projects, strategic planning, and other assigned initiatives. requirements degree in human resources or a related discipline. at least 2 years of relevant human resources experience. strong understanding of employee relations and hr policies. excellent communication and interpersonal skills with the ability to build strong stakeholder relationships. strong problem-solving, coaching, and people management skills. able to manage multiple priorities in a fast-paced environment. if you are interested in this opportunity, please send your updated resume to careerwithus@recruitexpress.com.sg (attn: business partner – leon). leon leong de cong r1551708 recruit express pte ltd ea license no. 99c4599",0,0,other,reviewed:veto:seniority-in-title
mcf,LYNN AESTHETIC PTE. LTD.,Beauty Salon cum Aesthetic center Sales Consultant,1,Executive,Permanent|Full Time,"job summary join a dynamic beauty salon and aesthetic center serving mid to high-end customers. as a beauty salon sales consultant / aesthetic treatment sales consultant, you will drive sales performance, deliver expert skin consultations, and uphold the company’s professional image. responsibilities deliver professional skin analysis and consultation to guide customers in selecting appropriate skincare products and aesthetic treatments. manage incoming customer enquiries and resolve complaints to maintain high customer satisfaction and loyalty. drive sales of skincare products, facial treatments, slimming services, tcm therapeutic services, and aesthetic treatments to meet and exceed team targets. lead and take ownership of your sales team’s performance, fostering a collaborative and results-driven environment. represent the company’s brand image with professionalism and a customer-centric approach. engage proactively with customers to build rapport and enhance their experience.",0,0,management_consulting,reviewed:no-route
mcf,XINSHA HOLDING PTE. LTD.,Project Engineer,0,Professional,Full Time,"about the role we are seeking a dynamic and proactive project engineer to join our project team. in this role, you will bridge the gap between site execution and project controls. in this role, you will play a key part in coordinating site operations, engineering execution, and project controls to ensure the successful delivery works. whether you are an experienced engineer or amotivated fresh graduate eager to build your career in marine infrastructure, we welcome your application. key responsibilities oversee project works: assist project manager to plan, manage, and monitor marine and reclamation project works to ensure compliance with project specifications,quality standards, and timelines. stakeholder coordination: coordinate closely with contractors, consultants, internal teams, and marine vessel operators. procurement: prepare documents for quotations, source for contractors, evaluate contractor bids and quotations and assist in selecting contractors andsuppliers. technical review: review and analyze technical drawings, layout plans, and construction documentation using autocad. problem solving: actively monitor site progress, identify technical challenges or siteissues, and recommend practical, safe solutions. material tracking: monitor and map material quantities to ensure accurate commercial tracking. team leadership: supervise and manage a small on-site team / subcontractors to ensuresafety, productivity, and high morale. requirements education: degree in civil engineering or a related field. technical skills: proficiency in autocad is required. knowledge of geotechnical engineering principles (soil mechanics, ground improvement, foundation design is highly advantageous. experience: minimum of 3 years of relevant working experience in civil works, ideally with exposure to marine construction, dredging, reclamation, or soil improvement projects. candidates with quantity surveying (qs) knowledge or experience will have an added advantage. fresh graduates with a strong academic background in civil engineering/qs and a passion for marine infrastructure are highly encouraged to apply. soft skills: strong organizational, time-management, and proactive problem-solving abilities. excellent communication skills to coordinate between offshore crews and onshore management.",1,0,engineering,reviewed:route:states-fresh-grad
mcf,NETPOLEON SOLUTIONS PTE LTD,Product Manager,1,Professional,Permanent,"roles & responsibilities: •manages assigned product portfolio and generate sales to achieve revenue, target and budget. •maintains professional and technical knowledge of sales product •build strategic relationship with product vendors and partners to provide solutions to partners and end users. •conduct and assess market and competitive analysis to develop efficient business strategy and generate higher sales revenue. •develops product concept and provide a unique value based on the requirements of clients. •clearly articulate and present the business value of the product to business partners •prepare and conduct periodic product updates and enablement for channel partners •provides business and revenue forecast, including periodic reviews with relevant product vendors on business and sales activities •develops marketing strategies or programmes by collaborating with marketing team •obtains bill of material and pricing by working with presales team on product solution. •facilitates inventory turnover / management / control by reviewing and adjusting inventory levels requirements: •degree/diploma with more than 1-5 years of experience •preferred from cyber security/it industries •proficient in microsoft office softwares •proven business negotiations and presentations skills •possess professional communication skills and relationships management •possess high responsibility and strategic thinking •implement key time-management skills in high demand settings other information: •working hours: 9am to 6pm, monday to friday •salary will commensurate with qualifications and experiences",0,0,product_management,reviewed:veto:seniority-in-title
mcf,PRESTIGE CORPORATE SERVICES PTE. LTD.,Graduate Associate (Finance),0,Fresh/entry level,Full Time,"job responsibilities manage financial and investment portfolios for both corporate (b2b) and individual (b2c) clients, involving investment, risk, and asset management. analyse financial markets and investment funds, including equities, etfs, bonds, and unit trusts. provide integrated wealth solutions across wealth preservation, partnership management and business succession planning. assist with the onboarding and management of clients’ investment portfolios using digital financial platforms such as ifast central. eligibility requirements candidates must possess one of the following academic minimum entry requirements: a full certificate in gce 'a' level; international baccalaureate diploma qualification; diploma awarded by a polytechnic in singapore job type entry level role. full-time and part-time positions available candidates without prior financial industry experience are welcome to apply flexible working hours and hybrid work arrangement what we provide structured training and development program one-to-one mentorship and onboarding support professional growth in an established financial services company opportunities for leadership and career advancement access to branding resources, corporate seminars, and professional development materials performance-based incentives and bonuses",1,0,finance_accounting,reviewed:route:programme
mcf,EA RECRUITMENT PTE. LTD.,Assistant Software Engineer / Software Engineer (SCADA & System Integration),1,Junior Executive,Permanent|Full Time,"well established company basic $3500 to $5500 + aws + vb working location: northeast singapore working hours: 8.30am – 5.30pm (5 days work) candidates with at least one year of software development experience and exposure to a full sdlc may be considered for the software engineer position. candidate with lesser experience and may be considered for the assistant software engineer position. job responsibilities: design, develop, configure, test and integrate software solutions for scada and system integration projects. gather and analyse system requirements and prepare software designs. develop applications using c/c++, c#, python, typescript or other relevant programming and scripting languages. design and configure user-friendly scada screens, animations, alarm displays and system interfaces. configure i/o points and integrate scada software with field controllers and other systems. design and optimise relational databases using mssql, mysql or postgresql. perform in-house software testing, system integration testing and site testing. support software deployment, installation, testing and commissioning at customers’ sites. retrieve and analyse system logs to troubleshoot software, database, network, protocol and communication issues. implement software fixes, patches, enhancements and system upgrades. prepare software documentation, test reports and technical records. provide production and technical support to project teams and customers. requirements: diploma or degree in computer science, computer engineering, electrical engineering, electronics engineering or related discipline. knowledge or experience in two or more programming languages such as c/c++, c#, html5 or unix shell. familiarity with at least one scripting language such as python, bash or typescript. knowledge of relational databases such as mssql, mysql or postgresql. good understanding of computer networks, windows and unix/linux environments. knowledge of rest apis, communication protocols, map engines, scada, rsbms or cybersecurity will be advantageous. candidates with at least one year of software development experience and exposure to a full sdlc may be considered for the software engineer position. candidate with lesser experience and may be considered for the assistant software engineer position. able to provide on-site support and work with customers when required. candidates are encouraged to apply this position via apply now button with the following information in the resume work experiences and job responsibilities current and expected salary reason for leaving date of availability education background we regret that only shortlisted candidates will be contacted. ng diaum yee (r2198031) ea recruitment pte ltd ea license no: 21c0492",0,0,software_engineering,reviewed:no-route
mcf,SEARCHELECT PTE. LTD.,Graduate Career Research (Insights & Coaching),1,Fresh/entry level,Permanent|Internship/Attachment,"about us searchelect is a boutique technology recruitment firm established in singapore in 2011. since our inception, we have partnered with market leaders to connect exceptional talent with high-growth organizations. we are now conducting a research initiative to bridge the gap between graduate expectations and top employers. about the project we are currently conducting an extensive market research initiative to understand what graduates prioritize when evaluating potential employers. our goal is to bridge the gap between graduate expectations and employer offerings, helping companies create more meaningful and attractive career paths for the next generation of talent. why participate? by sharing your insights, you are contributing to a project that directly influences how top employers attract and support graduate talent. as a thank you, you will also receive the following exclusive benefits: insights: gain early access to our ""employer talent report"". toolkit: receive a unique graduate job seeker toolkit designed to help you navigate today’s market. career coaching: participants will be automatically entered into a draw for one of our exclusive, 1-on-1 career coaching sessions. what you will do survey: complete a short (approx. 10–15 minute) survey to share your views on current graduate career expectations and workplace priorities. your perspective: provide your thoughts on what makes an organization stand out to you. who should participate we are looking for recent graduates (2024, 2025, or 2026) and students currently preparing for their first career step, specifically across science, it, and business disciplines. expectations initiative scope: this posting is not for a direct job opening with a specific company. your data: all responses are anonymized and used exclusively for research and market mapping purposes. how to participate if you are interested in shaping the future of graduate recruitment and gaining insights into your own career path, please apply to this posting with your latest resume. to learn more about our background and expertise in the technology recruitment market, visit our company website at www.searchelect.com.",1,1,human_resources,reviewed:route:programme
mcf,FORT FINANCIAL PTE. LTD.,Management Trainee/ Wealth Solutions Consultant,0,Non-executive,Full Time,"job overview we are looking for motivated individuals who are eager to begin or advance their career in the financial services and wealth advisory industry as a management trainee / wealth solutions consultant . this opportunity is designed for those who want to build a strong foundation in client advisory, financial planning, and wealth management. you will receive structured training, hands-on exposure, and continuous mentorship to support your professional growth and long-term career progression. what you will gain a comprehensive 12-week structured training programme personalised 1-to-1 mentorship from experienced industry professionals clear and transparent career progression pathways a supportive, collaborative, and growth-focused team environment flexible working arrangements to promote work-life balance exposure to a wide range of clients and real market experiences continuous learning, workshops, and development opportunities your responsibilities engage with clients to understand their financial goals and needs support the development of tailored wealth and financial planning solutions assist clients in reviewing and updating their financial strategies over time build and maintain strong, long-term client relationships manage existing client portfolios while identifying new opportunities participate actively in training sessions and development programmes ensure all advice and processes are aligned with regulatory and compliance standards who we are looking for diploma, a-level, or degree holders from any field of study strong interpersonal and communication skills highly motivated with a willingness to learn and grow responsible, organised, and proactive able to work independently as well as in a team environment must meet relevant regulatory or licensing requirements where applicable what we value a strong ambition and growth mindset professionalism and attention to detail interest in financial planning, consulting, or client-facing roles benefits & perks flexible work arrangements structured onboarding and continuous training clear career advancement opportunities supportive and collaborative working culture",1,0,management_consulting,reviewed:route:programme
mcf,LONG FAITH PTE. LIMITED,Investment Analyst,1,Fresh/entry level,Full Time,"about the role: we are a family office with a diversified investment portfolio across private equity and cryptocurrency. as part of our long-term strategy, we are gradually expanding into fundamentals-driven public equity investing. this role will primarily support post-investment monitoring and research in private equity and cryptocurrency while progressively gaining exposure to public equity research. the analyst will play a flexible role, contributing across research, investment support, and daily operations, with the opportunity to grow into broader research responsibilities over time. what you will be responsible for: 1. post-investment management monitor and consolidate operational and financial data of portfolio companies and funds; collect, track, and organize relevant publicly available information (e.g. filings, press releases, industry news) related to portfolio companies, funds, and markets; prepare regular post-investment reports and updates for internal stakeholders; maintain ongoing communication with portfolio companies and fund managers to ensure accurate information flow. 2. research & analysis conduct industry and company research in private markets and crypto sectors, including competitive landscapes and emerging opportunities; assist in evaluating investment opportunities, building financial models, and preparing investment memos; gradually expand into public equity research, focusing on fundamentals-driven analysis of listed companies and long-term industry trends. 3. operations & team support assist with investment-related documentation, payment processes, and contract management; prepare meeting notes, maintain records, and support internal systems; contribute to ad hoc projects to ensure efficient team operations. how will you stand out: bachelor’s degree or above, preferably in finance, accounting, economics, business, or related fields; 0–3 years of relevant work experience, preferably in research or buy-side investing; familiarity with crypto, blockchain, or emerging technologies would be a plus; solid foundation in accounting, finance, and data analysis; proficient in excel and powerpoint; genuine passion for investing, with strong intellectual curiosity to learn across asset classes, self-motivation, and ownership; strong analytical and problem-solving skills, with the ability to connect data to real business insights; detail-oriented, responsible, and reliable; able to deliver high-quality work under guidance;",0,0,investment,reviewed:no-route
